user_id,date,service,source_subfolder
sthiele,2023-10-12,github,results
hallerp,2023-10-12,github,results
jakobchwastek,2023-10-12,github,results
lenabolliger,2023-10-12,github,results
LenaJaeger,2023-10-12,github,results
prassepaul,2023-10-12,github,results
sarahkiener,2023-10-12,github,results
Shuwen27,2023-10-12,github,results
SiQube,2023-10-12,github,results
tschirner,2023-10-12,github,results
KatrinSch,2023-10-12,github,results
MaxOstrowski,2023-10-12,github,results
pluehne,2023-10-12,github,results
rkaminsk,2023-10-12,github,results
sthiele,2023-10-12,github,results
tortinator,2023-10-12,github,results
wanko,2023-10-12,github,results
laura-riedel,2023-10-12,github,results
arne-cl,2023-10-12,github,results
FelixDombek,2023-10-12,github,results
peldszus,2023-10-12,github,results
RobinSchaefer,2023-10-12,github,results
TScheffler,2023-10-12,github,results
rkaminsk,2023-10-12,GitHub.com,potassco
alexl4123,2023-10-12,GitHub.com,potassco
susuhahnml,2023-10-12,GitHub.com,potassco
pobermei,2023-10-12,GitHub.com,potassco
svancaj,2023-10-12,GitHub.com,potassco
sthiele,2023-10-12,GitHub.com,potassco
peacememories,2023-10-12,GitHub.com,potassco
pluehne,2023-10-12,GitHub.com,potassco
samuelpilz,2023-10-12,GitHub.com,potassco
aurelien-naldi,2023-10-12,GitHub.com,potassco
MalteT,2023-10-12,GitHub.com,potassco
keraJLi,2023-10-12,GitHub.com,potassco
javier-romero,2023-10-12,GitHub.com,potassco
sthiele,2023-10-12,GitHub.com,potassco
sthiele,2023-10-12,GitHub.com,potassco
dependabot[bot],2023-10-12,GitHub.com,potassco
sthiele,2023-10-12,GitHub.com,potassco
zayenz,2023-10-12,GitHub.com,potassco
dependabot[bot],2023-10-12,GitHub.com,potassco
javier-romero,2023-10-12,GitHub.com,potassco
BenKaufmann,2023-10-12,GitHub.com,potassco
rkaminsk,2023-10-12,GitHub.com,potassco
pobermei,2023-10-12,GitHub.com,potassco
Thomas-Otto,2023-10-12,GitHub.com,potassco
janheuer,2023-10-12,GitHub.com,potassco
javier-romero,2023-10-12,GitHub.com,potassco
halex97,2023-10-12,GitHub.com,potassco
domoritz,2023-10-12,GitHub.com,potassco
teiesti,2023-10-12,GitHub.com,potassco
MaxOstrowski,2023-10-12,GitHub.com,potassco
sthiele,2023-10-12,GitHub.com,potassco
MaxOstrowski,2023-10-12,GitHub.com,potassco
sthiele,2023-10-12,GitHub.com,potassco
susuhahnml,2023-10-12,GitHub.com,potassco
pobermei,2023-10-12,GitHub.com,potassco
susuhahnml,2023-10-12,GitHub.com,potassco
javier-romero,2023-10-12,GitHub.com,potassco
rkaminsk,2023-10-12,GitHub.com,potassco
sthiele,2023-10-12,GitHub.com,potassco
schellhorn,2023-10-12,GitHub.com,potassco
atakemura,2023-10-12,GitHub.com,potassco
rkaminsk,2023-10-12,GitHub.com,potassco
rkaminsk,2023-10-12,GitHub.com,potassco
BenKaufmann,2023-10-12,GitHub.com,potassco
domoritz,2023-10-12,GitHub.com,potassco
LasseBlaauwbroek,2023-10-12,GitHub.com,potassco
sthiele,2023-10-12,GitHub.com,potassco
MaxOstrowski,2023-10-12,GitHub.com,potassco
