user_id,date,service,source_subfolder
rkaminsk,2023-10-12,GitHub.com,
alexl4123,2023-10-12,GitHub.com,
susuhahnml,2023-10-12,GitHub.com,
pobermei,2023-10-12,GitHub.com,
svancaj,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
peacememories,2023-10-12,GitHub.com,
pluehne,2023-10-12,GitHub.com,
samuelpilz,2023-10-12,GitHub.com,
aurelien-naldi,2023-10-12,GitHub.com,
MalteT,2023-10-12,GitHub.com,
keraJLi,2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
dependabot[bot],2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
zayenz,2023-10-12,GitHub.com,
dependabot[bot],2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
BenKaufmann,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
pobermei,2023-10-12,GitHub.com,
Thomas-Otto,2023-10-12,GitHub.com,
janheuer,2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
halex97,2023-10-12,GitHub.com,
domoritz,2023-10-12,GitHub.com,
teiesti,2023-10-12,GitHub.com,
MaxOstrowski,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
MaxOstrowski,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
susuhahnml,2023-10-12,GitHub.com,
pobermei,2023-10-12,GitHub.com,
susuhahnml,2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
schellhorn,2023-10-12,GitHub.com,
atakemura,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
BenKaufmann,2023-10-12,GitHub.com,
domoritz,2023-10-12,GitHub.com,
LasseBlaauwbroek,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
MaxOstrowski,2023-10-12,GitHub.com,
Rethous,2023-10-12,GitHub.com,
nrueh,2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
tortinator,2023-10-12,GitHub.com,
pobermei,2023-10-12,GitHub.com,
javier-romero,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
jorgefandinno,2023-10-12,GitHub.com,
susuhahnml,2023-10-12,GitHub.com,
wanko,2023-10-12,GitHub.com,
susuhahnml,2023-10-12,GitHub.com,
javiergarea,2023-10-12,GitHub.com,
cabalar,2023-10-12,GitHub.com,
rkaminsk,2023-10-12,GitHub.com,
sthiele,2023-10-12,GitHub.com,
